,tweet_id,retweets,favorites
0,892420643555336193,7546,35691
1,892177421306343426,5594,30867
2,891815181378084864,3707,23207
3,891689557279858688,7727,38983
4,891327558926688256,8327,37238
5,891087950875897856,2795,18776
6,890971913173991426,1813,10904
7,890729181411237888,16886,60145
8,890609185150312448,3849,25827
9,890240255349198849,6566,29496
10,890006608113172480,6559,28413
11,889880896479866881,4466,25846
12,889665388333682689,8951,44450
13,889638837579907072,4005,25008
14,889531135344209921,2021,14044
15,889278841981685760,4774,23329
16,888917238123831296,4020,26944
17,888804989199671297,3788,23640
18,888554962724278272,3101,18256
19,888078434458587136,3110,20170
20,887705289381826560,4833,28037
21,887517139158093824,10558,42920
22,887473957103951883,16110,63598
23,887343217045368832,9397,31180
24,887101392804085760,5345,28368
25,886983233522544640,6855,32283
26,886736880519319552,2865,11079
27,886680336477933568,4010,20831
28,886366144734445568,2836,19562
29,886267009285017600,4,111
30,886258384151887873,5657,25914
31,886054160059072513,99,0
32,885984800019947520,6023,30172
33,885528943205470208,5724,33273
34,885518971528720385,3346,18946
35,885311592912609280,16558,0
36,885167619883638784,3909,20259
37,884925521741709313,16154,71256
38,884876753390489601,4990,25748
39,884562892145688576,4210,22510
40,884441805382717440,5101,25078
41,884247878851493888,18182,67126
42,884162670584377345,2681,18903
43,883838122936631299,3073,20226
44,883482846933004288,8849,42394
45,883360690899218434,3312,20986
46,883117836046086144,5964,34335
47,882992080364220416,3481,22117
48,882762694511734784,4379,26160
49,882627270321602560,5443,25938
50,882268110199369728,10367,41489
51,882045870035918850,4360,27146
52,881906580714921986,3049,22551
53,881666595344535552,9559,46913
54,881633300179243008,7,115
55,881536004380872706,14338,45805
56,881268444196462592,4740,21544
57,880935762899988482,2506,15850
58,880872448815771648,3434,19726
59,880465832366813184,5564,26362
60,880221127280381952,3732,24976
61,880095782870896641,3896,25588
62,879862464715927552,3126,20728
63,879674319642796034,10,292
64,879492040517615616,2859,21760
65,879415818425184262,39934,97984
66,879376492567855104,2810,15602
67,879130579576475649,6108,0
68,879050749262655488,4222,20901
69,879008229531029506,2406,17638
70,878776093423087618,3676,17959
71,878604707211726852,6348,27910
72,878404777348136964,1151,0
73,878316110768087041,5955,0
74,878281511006478336,1151,7167
75,878057613040115712,6108,39038
76,877736472329191424,16999,73448
77,877611172832227328,71,0
78,877556246731214848,3418,21055
79,877316821321428993,4677,25446
80,877201837425926144,5005,25154
81,876838120628539392,2999,19208
82,876537666061221889,4220,22010
83,876484053909872640,2130,17446
84,876120275196170240,4197,25978
85,875747767867523072,3842,23343
86,875144289856114688,4418,20382
87,875097192612077568,5478,25494
88,875021211251597312,4245,23699
89,874680097055178752,4176,25863
90,874434818259525634,13093,0
91,874296783580663808,3716,24228
92,874057562936811520,3594,21139
93,874012996292530176,9224,31850
94,873580283840344065,3561,22541
95,873337748698140672,1428,0
96,873213775632977920,1428,6663
97,872967104147763200,4893,25369
98,872820683541237760,3366,13734
99,872620804844003328,3296,19324
100,872486979161796608,8189,38001
101,872122724285648897,7330,31940
102,871879754684805121,9921,35024
103,871762521631449091,3160,18866
104,871515927908634625,3154,18838
105,871166179821445120,5188,0
106,871102520638267392,5001,19540
107,871032628920680449,3465,21243
108,870804317367881728,5630,31459
109,870726314365509632,3,114
110,870656317836468226,2386,11519
111,870374049280663552,24161,77671
112,870308999962521604,3775,20506
113,870063196459192321,7566,34169
